$French Daily Discharge,
Auto-Generated,
JDAY,Flow
1179,0.083549911
1180,0.083746963
1181,0.079608878
1182,0.067982829
1183,0.075667844
1184,0.076850154
1185,0.073697328
1186,0.073106173
1187,0.067194622
1188,0.064041795
1189,0.060297813
1190,0.05990371
1191,0.058918452
1192,0.059312555
1193,0.057342038
1194,0.057342038
1195,0.054977418
1196,0.053795108
1197,0.05517447
1198,0.061480124
1199,0.060494865
1200,0.056947935
1201,0.053006901
1202,0.049854075
1203,0.044336628
1204,0.038030974
1205,0.037636871
1206,0.035666354
1207,0.033104682
1208,0.044336628
1209,0.40986749
1210,0.401985423
1211,0.23252098
1212,0.181484595
1213,0.151138637
1214,0.125324867
1215,0.103452131
1216,0.084732222
1217,0.114289973
1218,0.180105234
1219,0.156261981
1220,0.146212345
1221,0.127689487
1222,0.10916663
1223,0.094584805
1224,0.093008392
1225,0.134192193
1226,0.188184353
1227,0.182075751
1228,0.133403986
1229,0.104437389
1230,0.090643772
1231,0.099314046
1232,0.178725872
1233,0.162567634
1234,0.126507177
1235,0.096752374
1236,0.079214775
1237,0.068968087
1238,0.096752374
1239,0.145818242
1240,0.113698818
1241,0.089855565
1242,0.074091431
1243,0.06345064
1244,0.053006901
1245,0.047686506
1246,0.075667844
1247,0.062071279
1248,0.050248178
1249,0.169858546
1250,0.374398188
1251,0.258137698
1252,0.216756846
1253,0.187593198
1254,0.152320947
1255,0.136556813
1256,0.121580885
1257,0.104634441
1258,0.088673255
1259,0.073500276
1260,0.107787268
1261,0.146015293
1262,0.102072769
1263,0.07862362
1264,0.066800519
1265,0.056159728
1266,0.052218695
1267,0.044730731
1268,0.038622129
1269,0.03408994
1270,0.03172532
1271,0.029754803
1272,0.036257509
1273,0.040395594
1274,0.033104682
1275,0.027587235
1276,0.023646201
1277,0.036651612
1278,0.025419666
1279,0.01933077
1280,0.016493225
1281,0.018779025
1282,0.017636125
1283,0.016237058
1284,0.015350326
1285,0.015507967
1286,0.012512782
1287,0.011980742
1288,0.011665459
1289,0.012079268
1290,0.012335435
1291,0.012000447
1292,0.010325508
1293,0.009497891
1294,0.008492927
1295,0.00823676
1296,0.007527374
1297,0.007172681
1298,0.006975629
1299,0.005990371
1300,0.00530069
1301,0.005143049
1302,0.004630714
1303,0.00468983
1304,0.005221869
1305,0.005931256
1306,0.008689979
1307,0.006975629
1308,0.006975629
1309,0.007290912
1310,0.006088897
1311,0.004926292
1312,0.005399216
1313,0.005399216
1314,0.005635678
1315,0.005143049
1316,0.004926292
1317,0.004433663
1318,0.006817988
1319,0.013103937
1320,0.02108453
1321,0.022463891
1322,0.019705168
1323,0.020296323
1324,0.047883558
1325,0.040986749
1326,0.040789697
1327,0.032119424
1328,0.022857995
1329,0.02226684
1330,0.019902219
1331,0.020887478
1332,0.02226684
1333,0.023646201
1334,0.021281581
1335,0.016926739
1336,0.014562119
1337,0.01060138
1338,0.007152976
1339,0.004926292
1340,0.008591453
1341,0.007290912
1342,0.007369733
1343,0.006936219
1344,0.008965851
1345,0.011566934
1346,0.010798432
1347,0.008433812
1348,0.010542265
1349,0.010148161
1350,0.006739167
1351,0.006502705
1352,0.006817988
1353,0.007685015
1354,0.007448553
1355,0.005950961
1356,0.006423885
1357,0.005793319
1358,0.020099271
1359,0.019705168
1360,0.014266541
1361,0.011803396
1362,0.011763985
1363,0.010857547
1364,0.008354991
1365,0.007704721
1366,0.008177645
1367,0.012335435
1368,0.022857995
1369,0.019902219
1370,0.016729687
1371,0.015094159
1372,0.019567232
1373,0.026010822
1374,0.02108453
1375,0.015409441
1376,0.011921627
1377,0.010837842
1378,0.011921627
1379,0.012631013
1380,0.011882216
1381,0.014818286
1382,0.012946295
1383,0.015232095
1384,0.01353745
1385,0.017951408
1386,0.016650867
1387,0.014877402
1388,0.016138532
1389,0.047095351
1390,0.050248178
1391,0.039016232
1392,0.029951855
1393,0.025419666
1394,0.021675685
1395,0.01933077
1396,0.020099271
1397,0.019232244
1398,0.056159728
1399,0.431543175
1400,0.376368705
1401,0.244344081
1402,0.153700309
1403,0.10798432
1404,0.083155808
1405,0.067588726
1406,0.05753909
1407,0.050248178
1408,0.054189211
1409,0.06226833
1410,0.060691917
1411,0.05517447
1412,0.049459971
1413,0.049657023
1414,0.047095351
1415,0.044139576
1416,0.042760214
1417,0.039410336
1418,0.039410336
1419,0.038819181
1420,0.037045715
1421,0.035666354
1422,0.054583315
1423,0.051430488
1424,0.040789697
1425,0.033301734
1426,0.030148907
1427,0.031922372
1428,0.031528268
1429,0.029951855
1430,0.033104682
1431,0.031331217
1432,0.030740062
1433,0.034681095
1434,0.033301734
1435,0.033892889
1436,0.031134165
1437,0.02817839
1438,0.034286992
1439,0.038030974
1440,0.061677175
1441,0.076456051
1442,0.064041795
1443,0.057144987
1444,0.047883558
1445,0.045321886
1446,0.043942524
1447,0.045913041
1448,0.112516508
1449,0.176558304
1450,0.135768606
1451,0.168676236
1452,0.354693021
1453,0.220697879
1454,0.167099823
1455,0.133995141
1456,0.110545991
1457,0.116457542
1458,0.113107663
1459,0.094584805
1460,0.097343529
1461,0.083155808
1462,0.073303224
1463,0.066406416
1464,0.065421157
1465,0.073106173
1466,0.070938604
1467,0.070150397
1468,0.065618209
1469,0.06345064
1470,0.060494865
1471,0.061874227
1472,0.062859485
1473,0.071332707
1474,0.099314046
1475,0.194095903
1476,0.244344081
1477,0.188578456
1478,0.160991221
1479,0.134192193
1480,0.11153125
1481,0.111334198
1482,0.110545991
1483,0.094584805
1484,0.069756294
1485,0.075470793
1486,0.070347449
1487,0.068179881
1488,0.064238847
1489,0.063253589
1490,0.065421157
1491,0.074485534
1492,0.285724933
1493,0.340899403
1494,0.222668396
1495,0.186804991
1496,0.148971069
1497,0.121580885
1498,0.114684077
1499,0.100299304
1500,0.096358271
1501,0.109954836
1502,0.137739123
1503,0.131827573
1504,0.132812831
1505,0.119216265
1506,0.11153125
1507,0.106013803
1508,0.111925353
1509,0.094190702
1510,0.0880821
1511,0.096555322
1512,0.117245748
1513,0.102466873
1514,0.088673255
1515,0.093205444
1516,0.108772526
1517,0.121186782
1518,0.116654593
1519,0.190746024
1520,0.443366276
1521,0.352722504
1522,0.256167181
1523,0.212815812
1524,0.195475265
1525,0.184243319
1526,0.189563714
1527,0.187199094
1528,0.182666906
1529,0.195869368
1530,0.191534231
1531,0.192913593
1532,0.260108215
1533,0.58130245
1534,0.530069014
1535,0.376368705
1536,0.299518551
1537,0.250255631
1538,0.224638913
1539,0.220697879
1540,0.214786329
1541,0.202963228
1542,0.184637422
1543,0.17261727
1544,0.173011373
1545,0.188972559
1546,0.185819732
1547,0.195081161
1548,0.218727363
1549,0.240403047
1550,0.28769545
1551,0.315282685
1552,0.413808524
1553,0.470953511
1554,0.338928886
1555,0.264049249
1556,0.250255631
1557,0.246314598
1558,0.23252098
1559,0.220697879
1560,0.224638913
1561,0.23252098
1562,0.240403047
1563,0.254196665
1564,0.327105786
1565,0.299518551
1566,0.254196665
1567,0.216756846
1568,0.195475265
1569,0.180696389
1570,0.167099823
1571,0.192125386
1572,0.199022195
1573,0.170843805
1574,0.143453622
1575,0.141483105
1576,0.136950916
1577,0.129462952
1578,0.115866387
1579,0.100496356
1580,0.086505687
1581,0.077638361
1582,0.072909121
1583,0.069362191
1584,0.063253589
1585,0.063056537
1586,0.066800519
1587,0.066800519
1588,0.064041795
1589,0.066209364
1590,0.160597118
1591,0.169661495
1592,0.149365172
1593,0.14916812
1594,0.105422648
1595,0.083944015
1596,0.073303224
1597,0.068573984
1598,0.069953346
1599,0.127295384
1600,0.092417237
1601,0.057736142
1602,0.049854075
1603,0.092417237
1604,0.093205444
1605,0.559626766
1606,0.561597282
1607,0.429572658
1608,0.297548034
1609,0.214786329
1610,0.199022195
1611,0.354693021
1612,0.323164752
1613,0.228579947
1614,0.160005963
1615,0.154882619
1616,0.139315536
1617,0.10680201
1618,0.083746963
1619,0.115669335
1620,0.652241054
1621,0.549774182
1622,0.340899403
1623,0.705445007
1624,0.800029813
1625,0.56947935
1626,0.943877538
1627,0.754707927
1628,0.516275397
1629,0.384250772
1630,0.417749557
1631,0.362575088
1632,0.275872349
1633,0.210845296
1634,0.170843805
1635,0.140497846
1636,0.10798432
1637,0.103452131
1638,0.104240338
1639,0.11862511
1640,0.159217756
1641,0.171829063
1642,0.119610369
1643,0.149759275
1644,0.407896974
1645,0.309371135
1646,0.175375993
1647,0.112122405
1648,0.079411826
1649,0.065027054
1650,0.058327297
