"","Date","JDAY","Temperature","Specific Conductivity","TDS"
"188",2018-07-07,188,12.1671145833333,148.185583333333,88.91135
"189",2018-07-08,189,12.9419583333333,147.999041666667,88.799425
"190",2018-07-09,190,14.0194375,149.894822916667,89.93689375
"191",2018-07-10,191,13.58953125,147.359604166667,88.4157625
"192",2018-07-11,192,12.9487708333333,145.5826875,87.3496125
"193",2018-07-12,193,13.5451666666667,144.284708333333,86.570825
"194",2018-07-13,194,14.18115625,145.133979166667,87.0803875
"195",2018-07-14,195,14.272625,143.171302083333,85.90278125
"196",2018-07-15,196,13.74290625,142.26315625,85.35789375
"197",2018-07-16,197,13.5643645833333,139.597979166667,83.7587875
"198",2018-07-17,198,14.13653125,142.2684375,85.3610625
"199",2018-07-18,199,12.6086875,138.140697916667,82.88441875
"200",2018-07-19,200,13.34375,136.77065625,82.06239375
"201",2018-07-20,201,13.6895208333333,138.220479166667,82.9322875
"202",2018-07-21,202,14.0418854166667,136.925510416667,82.15530625
"203",2018-07-22,203,14.3441875,133.682489583333,80.20949375
"204",2018-07-23,204,14.84990625,138.573145833333,83.1438875
"205",2018-07-24,205,14.7823125,138.689625,83.213775
"206",2018-07-25,206,15.088125,137.217010416667,82.33020625
"207",2018-07-26,207,14.8610104166667,137.5975,82.5585
"208",2018-07-27,208,15.2943645833333,136.84628125,82.10776875
"209",2018-07-28,209,14.9389166666667,137.359625,82.415775
"210",2018-07-29,210,15.1078645833333,136.090958333333,81.654575
"211",2018-07-30,211,15.1954479166667,135.77190625,81.46314375
"212",2018-07-31,212,15.1604270833333,135.705697916667,81.42341875
"213",2018-08-01,213,15.2758958333333,135.843760416667,81.50625625
"214",2018-08-02,214,15.83525,138.484385416667,83.09063125
"215",2018-08-03,215,15.6055520833333,136.360729166667,81.8164375
"216",2018-08-04,216,15.1528020833333,133.31165625,79.98699375
"217",2018-08-05,217,15.2160833333333,132.687635416667,79.61258125
"218",2018-08-06,218,15.5140520833333,131.99359375,79.19615625
"219",2018-08-07,219,15.84490625,131.927635416667,79.15658125
"220",2018-08-08,220,15.0335729166667,130.64090625,78.38454375
"221",2018-08-09,221,15.2547083333333,129.77709375,77.86625625
"222",2018-08-10,222,15.3173229166667,130.964427083333,78.57865625
"223",2018-08-11,223,15.2394166666667,127.700697916667,76.62041875
"224",2018-08-12,224,14.5813541666667,126.945604166667,76.1673625
"225",2018-08-13,225,14.9552291666667,124.634510416667,74.78070625
"226",2018-08-14,226,15.2774479166667,126.362864583333,75.81771875
"227",2018-08-15,227,15.5633958333333,130.274666666667,78.1648
"228",2018-08-16,228,15.8425208333333,129.332104166667,77.5992625
"229",2018-08-17,229,15.5250208333333,125.951166666667,75.5707
"230",2018-08-18,230,15.3244375,129.064822916667,77.43889375
"231",2018-08-19,231,14.6877604166667,122.363666666667,73.4182
"232",2018-08-20,232,15.4705,123.7118125,74.2270875
"233",2018-08-21,233,15.8761041666667,127.344510416667,76.40670625
"234",2018-08-22,234,16.0131666666667,128.370802083333,77.02248125
"235",2018-08-23,235,15.9477916666667,130.050916666667,78.03055
"236",2018-08-24,236,16.0838229166667,129.552291666667,77.731375
"237",2018-08-25,237,16.1643229166667,129.256645833333,77.5539875
"238",2018-08-26,238,16.5101770833333,129.182833333333,77.5097
"239",2018-08-27,239,16.1498125,130.265927083333,78.15955625
"240",2018-08-28,240,16.7477083333333,127.3739375,76.4243625
"241",2018-08-29,241,16.6179583333333,128.725583333333,77.23535
"242",2018-08-30,242,15.8196770833333,125.988333333333,75.593
"243",2018-08-31,243,15.8656770833333,123.277364583333,73.96641875
"244",2018-09-01,244,16.0629375,126.163229166667,75.6979375
"245",2018-09-02,245,16.44428125,127.59096875,76.55458125
"246",2018-09-03,246,16.5690729166667,128.54571875,77.12743125
"247",2018-09-04,247,16.09225,125.58253125,75.34951875
"248",2018-09-05,248,16.5799479166667,126.2185625,75.7311375
"249",2018-09-06,249,16.71646875,128.345916666667,77.00755
"250",2018-09-07,250,15.9068229166667,123.98221875,74.38933125
"251",2018-09-08,251,15.7078854166667,124.56,74.736
"252",2018-09-09,252,15.42765625,123.377572916667,74.02654375
