                    JDAY,WB,VOLIN(m3),VOLPR(m3),VOLOUT(m3),VOLWD(m3),VOLEV(m3),VOLDT(m3),VOLTRB(m3),VOLICE(m3),%VOLerror
   109.000,   1,  0.27786069E+08,   0.69417595E+07,  -0.72068751E+08,  -0.22254951E+08,  -0.20822003E+07,   0.68729723E+07,   0.58505640E+08,   0.00000000E+00,  -0.12830262E-09,
   109.998,   1,  0.28193576E+08,   0.70367523E+07,  -0.72719363E+08,  -0.23166199E+08,  -0.21014324E+07,   0.68729723E+07,   0.59463524E+08,   0.00000000E+00,  -0.13436886E-09,
   110.999,   1,  0.28511727E+08,   0.70367523E+07,  -0.73369475E+08,  -0.24062188E+08,  -0.21497070E+07,   0.68729723E+07,   0.60214847E+08,   0.00000000E+00,  -0.14151865E-09,
   111.999,   1,  0.28768426E+08,   0.70367523E+07,  -0.74023783E+08,  -0.24850078E+08,  -0.21908448E+07,   0.67586222E+07,   0.60816942E+08,   0.00000000E+00,  -0.14969186E-09,
   113.000,   1,  0.28986079E+08,   0.70367523E+07,  -0.74703534E+08,  -0.25609848E+08,  -0.22303175E+07,   0.65293742E+07,   0.61325243E+08,   0.00000000E+00,  -0.35303462E-09,
   113.998,   1,  0.29174621E+08,   0.70367523E+07,  -0.75397164E+08,  -0.26363904E+08,  -0.22677743E+07,   0.63381829E+07,   0.61771251E+08,   0.00000000E+00,  -0.15544091E-08,
   115.000,   1,  0.29360533E+08,   0.70367523E+07,  -0.76089888E+08,  -0.27043781E+08,  -0.23092392E+07,   0.63104701E+07,   0.62235833E+08,   0.00000000E+00,   0.89496503E-09,
   115.996,   1,  0.29640348E+08,   0.74271030E+07,  -0.76767603E+08,  -0.27688234E+08,  -0.23155027E+07,   0.64277581E+07,   0.62888143E+08,   0.00000000E+00,   0.11055884E-08,
   116.999,   1,  0.29971934E+08,   0.74397973E+07,  -0.77435038E+08,  -0.28329509E+08,  -0.23222100E+07,   0.65388403E+07,   0.63631849E+08,   0.00000000E+00,   0.94035143E-09,
   117.999,   1,  0.30270416E+08,   0.75683274E+07,  -0.78108713E+08,  -0.28961440E+08,  -0.23363850E+07,   0.66338604E+07,   0.64315375E+08,   0.00000000E+00,   0.69142989E-09,
   119.000,   1,  0.30542057E+08,   0.75730878E+07,  -0.78784140E+08,  -0.29578964E+08,  -0.23480085E+07,   0.67562128E+07,   0.64948068E+08,   0.00000000E+00,   0.46694551E-09,
   119.999,   1,  0.30779877E+08,   0.76206915E+07,  -0.79467594E+08,  -0.30172548E+08,  -0.23650998E+07,   0.69233433E+07,   0.65509838E+08,   0.00000000E+00,   0.36828851E-09,
   121.000,   1,  0.31003385E+08,   0.76936839E+07,  -0.80142377E+08,  -0.30703228E+08,  -0.23945346E+07,   0.71733701E+07,   0.66033695E+08,   0.00000000E+00,   0.33814245E-09,
   121.998,   1,  0.31204151E+08,   0.76936839E+07,  -0.80848172E+08,  -0.31187803E+08,  -0.24167541E+07,   0.74769263E+07,   0.66511983E+08,   0.00000000E+00,   0.23548611E-09,
   122.998,   1,  0.31376415E+08,   0.76936839E+07,  -0.81598206E+08,  -0.31644851E+08,  -0.24538383E+07,   0.77569037E+07,   0.66939739E+08,   0.00000000E+00,   0.14784035E-09,
   123.998,   1,  0.31529461E+08,   0.77222463E+07,  -0.82326670E+08,  -0.31944749E+08,  -0.24647822E+07,   0.79685345E+07,   0.67336001E+08,   0.00000000E+00,   0.13391040E-09,
   124.999,   1,  0.31670032E+08,   0.77270067E+07,  -0.83040988E+08,  -0.32059792E+08,  -0.24648652E+07,   0.81414581E+07,   0.67706810E+08,   0.00000000E+00,   0.76440424E-10,
   125.999,   1,  0.31804226E+08,   0.77270067E+07,  -0.83743069E+08,  -0.32115926E+08,  -0.25042590E+07,   0.83415894E+07,   0.68058799E+08,   0.00000000E+00,   0.44408817E-10,
   126.998,   1,  0.31952331E+08,   0.78523632E+07,  -0.84442237E+08,  -0.32171378E+08,  -0.25277779E+07,   0.85812969E+07,   0.68424717E+08,   0.00000000E+00,   0.27192062E-10,
   127.998,   1,  0.32104773E+08,   0.78523632E+07,  -0.85167949E+08,  -0.32223486E+08,  -0.25545648E+07,   0.88334594E+07,   0.68786610E+08,   0.00000000E+00,   0.12620277E-10,
   129.000,   1,  0.32238867E+08,   0.78523632E+07,  -0.85910811E+08,  -0.32274480E+08,  -0.25880594E+07,   0.90663337E+07,   0.69104487E+08,   0.00000000E+00,  -0.24847119E-11,
   130.000,   1,  0.32357661E+08,   0.78523632E+07,  -0.86647768E+08,  -0.32327324E+08,  -0.26359064E+07,   0.92569079E+07,   0.69390898E+08,   0.00000000E+00,  -0.44110592E-10,
   130.999,   1,  0.32465686E+08,   0.78523632E+07,  -0.87389112E+08,  -0.32383687E+08,  -0.26717891E+07,   0.94128659E+07,   0.69653721E+08,   0.00000000E+00,  -0.66212583E-10,
   131.999,   1,  0.32566246E+08,   0.78523632E+07,  -0.88098614E+08,  -0.32443841E+08,  -0.27197793E+07,   0.95712573E+07,   0.69889727E+08,   0.00000000E+00,  -0.65676951E-10,
