$MET data for Worcester Airport; FROM: NCEI CDO_2017_METDATA, , , , , 
JDAY,TAIR,TDEW,WIND,PH10,CLOUD
Day,C,C,m S-1,rad,tenth
7.963889,-10,-12.22,8.047,0.175,10
7.995833,-10,-12.22,7.6,6.283,10
8.022917,-10,-12.22,8.941,6.283,10
8.034028,-10,-12.22,7.6,6.283,10
8.0375,-10,-12.22,8.047,6.283,10
8.043056,-10,-12.22,7.6,6.283,10
8.047917,-10,-12.78,7.153,6.283,10
8.079167,-10,-12.78,4.917,6.283,9.103
8.120833,-10,-12.78,4.917,0.175,7.908
8.1625,-10,-12.22,4.023,6.109,6.712
8.196528,-10,-12.78,4.47,5.76,5.736
8.204167,-10,-12.78,4.47,5.76,5.516
8.209028,-10,-12.78,4.917,5.76,5.377
8.236111,-10,-12.78,4.023,5.76,4.6
8.245833,-10,-13.33,4.023,5.585,4.321
8.2875,-11.67,-14.44,4.023,5.061,3.125
8.329167,-11.67,-16.11,5.812,5.236,0
8.370833,-13.33,-17.22,4.023,5.236,0
8.4125,-13.33,-17.22,6.259,5.061,0
8.454167,-13.33,-18.33,6.259,5.061,0
8.495833,-13.89,-19.44,6.259,5.061,0
8.5375,-13.89,-19.44,6.706,5.061,0
8.579167,-12.78,-20,6.706,4.887,0
8.620833,-11.11,-18.33,7.6,5.061,0
8.6625,-10,-17.22,7.6,4.887,0
8.704167,-9.44,-17.22,6.259,5.236,0
8.745833,-8.33,-17.22,6.259,5.411,0
8.7875,-8.33,-16.67,6.259,5.061,0
8.829167,-8.89,-17.22,9.388,4.887,3.125
8.847917,-9.44,-15,7.153,5.061,3.125
8.85625,-9.44,-15,6.259,5.236,3.125
8.861806,-8.89,-15.56,4.47,5.061,3.125
8.870833,-8.89,-16.67,7.153,4.887,3.125
8.9125,-10,-17.78,5.812,5.061,0
8.954167,-11.11,-17.22,4.023,5.061,0
8.995833,-11.67,-17.22,3.129,4.363,6.25
9.015972,-10.56,-15,6.259,5.411,9.271
9.020833,-11.11,-13.89,4.023,5.934,10
9.026389,-11.11,-13.33,3.576,5.411,10
9.03125,-11.11,-13.89,5.812,5.585,10
9.036111,-11.11,-13.89,6.259,5.585,8.986
9.0375,-11.11,-14.44,5.812,5.411,8.696
9.041667,-11.11,-14.44,4.917,5.411,7.826
9.049306,-11.67,-15,4.917,5.236,6.232
9.079167,-12.22,-15.56,4.023,5.236,0
9.120833,-13.33,-16.11,4.47,5.061,0
9.1625,-12.78,-16.67,8.047,5.061,0
9.204167,-13.33,-18.33,6.259,5.061,0
9.245833,-13.89,-18.33,6.259,4.887,0
9.2875,-14.44,-18.33,4.023,4.887,0
9.329167,-15,-18.89,3.129,4.887,0
9.370833,-16.11,-19.44,2.235,4.189,0
9.4125,-15.56,-18.89,6.259,4.712,0
9.454167,-15.56,-20,5.812,4.712,0
9.495833,-16.67,-20.56,4.47,4.363,0
9.5375,-16.67,-20.56,4.47,4.363,0
