$Malden Brook Daily Discharge,
Auto-Generated,
JDAY,Flow
1302,0.005638502
1303,0.005710483
1304,0.00635831
1305,0.007222081
1306,0.010581188
1307,0.008493743
1308,0.008493743
1309,0.008877641
1310,0.00741403
1311,0.005998406
1312,0.006574253
1313,0.006574253
1314,0.006862177
1315,0.006262336
1316,0.005998406
1317,0.005398566
1318,0.008301794
1319,0.01595576
1320,0.025673178
1321,0.027352732
1322,0.023993624
1323,0.024713433
1324,0.058304507
1325,0.049906739
1326,0.049666803
1327,0.039109608
1328,0.027832604
1329,0.027112796
1330,0.024233561
1331,0.025433242
1332,0.027112796
1333,0.028792349
1334,0.025913114
1335,0.020610523
1336,0.017731288
1337,0.01290857
1338,0.008709686
1339,0.005998406
1340,0.01046122
1341,0.008877641
1342,0.008973616
1343,0.008445756
1344,0.010917099
1345,0.014084258
1346,0.013148506
1347,0.010269271
1348,0.012836589
1349,0.012356717
1350,0.00820582
1351,0.007917896
1352,0.008301794
1353,0.009357514
1354,0.00906959
1355,0.007246075
1356,0.007821922
1357,0.007054126
1358,0.024473497
1359,0.023993624
1360,0.017371384
1361,0.014372181
1362,0.014324194
1363,0.013220487
1364,0.010173297
1365,0.009381507
1366,0.009957354
1367,0.015020009
1368,0.027832604
1369,0.024233561
1370,0.020370587
1371,0.018379116
1372,0.023825669
1373,0.031671584
1374,0.025673178
1375,0.018763014
1376,0.014516143
1377,0.013196493
1378,0.014516143
1379,0.015379913
1380,0.014468156
1381,0.018043206
1382,0.015763811
1383,0.018547072
1384,0.01648362
1385,0.021858192
1386,0.020274613
1387,0.018115186
1388,0.019650778
1389,0.057344762
1390,0.061183742
1391,0.047507376
1392,0.036470309
1393,0.030951776
1394,0.026392987
1395,0.023537746
1396,0.024473497
1397,0.023417777
1398,0.06838183
1399,0.525460376
1400,0.458278227
1401,0.297520943
1402,0.187150271
1403,0.131485062
1404,0.101253095
1405,0.082298132
1406,0.070061383
1407,0.061183742
1408,0.065982467
1409,0.075819853
1410,0.073900363
1411,0.067182149
1412,0.060223997
1413,0.060463934
1414,0.057344762
1415,0.053745719
1416,0.052066165
1417,0.047987249
1418,0.047987249
1419,0.04726744
1420,0.045108014
1421,0.04342846
1422,0.06646234
1423,0.06262336
1424,0.049666803
1425,0.040549225
1426,0.036710245
1427,0.038869672
1428,0.038389799
1429,0.036470309
1430,0.040309289
1431,0.038149863
1432,0.037430054
1433,0.042228779
1434,0.040549225
1435,0.041269034
1436,0.037909927
1437,0.034310883
1438,0.041748907
1439,0.046307695
1440,0.075100045
1441,0.093095263
1442,0.07797928
1443,0.069581511
1444,0.058304507
1445,0.055185336
1446,0.053505783
1447,0.055905145
1448,0.137003596
1449,0.214982875
1450,0.165316073
1451,0.205385425
1452,0.43188524
1453,0.268728594
1454,0.203465936
1455,0.163156646
1456,0.134604233
1457,0.141802321
1458,0.137723404
1459,0.115169397
1460,0.118528505
1461,0.101253095
1462,0.089256283
1463,0.080858514
1464,0.079658833
1465,0.089016347
1466,0.086377048
1467,0.085417303
1468,0.079898769
1469,0.077259471
1470,0.073660427
1471,0.075339981
1472,0.076539662
1473,0.086856921
1474,0.120927867
1475,0.236337201
1476,0.297520943
1477,0.229618986
1478,0.196027912
1479,0.163396583
1480,0.135803914
1481,0.135563978
1482,0.134604233
1483,0.115169397
1484,0.084937431
1485,0.091895582
1486,0.085657239
1487,0.083017941
1488,0.078219216
1489,0.077019535
1490,0.079658833
1491,0.0906959
1492,0.347907555
1493,0.415089703
1494,0.271127957
1495,0.22745956
1496,0.181391801
1497,0.148040663
1498,0.139642894
1499,0.122127549
1500,0.117328824
1501,0.133884425
1502,0.167715435
1503,0.160517348
1504,0.161717029
1505,0.145161428
1506,0.135803914
1507,0.1290857
1508,0.136283787
1509,0.114689525
1510,0.107251501
1511,0.11756876
1512,0.142762066
1513,0.124766847
1514,0.10797131
1515,0.113489844
1516,0.132444807
1517,0.14756079
1518,0.142042257
1519,0.232258285
1520,0.539856551
1521,0.429485878
1522,0.311917118
1523,0.259131144
1524,0.238016755
1525,0.224340389
1526,0.230818667
1527,0.227939432
1528,0.222420899
1529,0.238496627
1530,0.23321803
1531,0.234897584
1532,0.316715843
1533,0.707811922
1534,0.645428498
